learner_id,learner_profile,completed_topics,quizzes_attempted,average_quiz_score,learning_streak,study_hours,completion_percentage,revision_sessions,coach_interactions,improvement_trend,current_domain,quiz_difficulty,pass_probability,next_quiz_pass
LRN00095,Struggling Learner,14,11,30.0,1,1.64,23.33,0,0,Stable,Generative AI,Easy,0.19,0
LRN00096,Casual Learner,23,18,47.58,3,4.94,38.33,2,1,Improving,SQL,Hard,0.35,0
LRN00097,Casual Learner,8,5,52.21,0,8.95,13.33,1,0,Stable,Python,Easy,0.294,0
LRN00098,Casual Learner,21,17,44.67,1,4.02,35.0,3,3,Improving,Generative AI,Easy,0.375,0
LRN00099,Casual Learner,21,18,55.04,10,5.71,35.0,0,0,Stable,Python,Medium,0.363,0
LRN00100,Fast Learner,37,22,98.0,19,23.48,61.67,9,7,Improving,Machine Learning,Medium,0.796,1
LRN00101,Consistent Learner,36,28,76.57,13,19.08,60.0,6,11,Improving,SQL,Medium,0.658,1
LRN00102,Consistent Learner,43,27,76.07,23,11.43,71.67,10,7,Stable,Python,Easy,0.61,0
LRN00103,Consistent Learner,43,31,90.14,14,21.08,71.67,13,3,Improving,Python,Medium,0.769,1
LRN00104,Struggling Learner,13,9,38.13,5,7.08,21.67,0,2,Declining,SQL,Easy,0.172,0
LRN00105,Casual Learner,16,11,57.98,5,10.61,26.67,0,2,Declining,Generative AI,Medium,0.283,0
LRN00106,Fast Learner,56,34,98.0,23,32.1,93.33,8,7,Stable,Machine Learning,Easy,0.809,1
LRN00107,Casual Learner,17,13,45.59,10,3.63,28.33,0,0,Stable,Machine Learning,Easy,0.301,0
LRN00108,Consistent Learner,38,30,74.01,11,18.94,63.33,7,5,Improving,NLP,Medium,0.65,1
LRN00109,Consistent Learner,28,15,76.03,13,13.23,46.67,10,9,Improving,Generative AI,Medium,0.619,0
LRN00110,Consistent Learner,39,31,74.77,16,10.82,65.0,9,6,Improving,Python,Easy,0.648,1
LRN00111,Fast Learner,47,39,98.0,22,27.05,78.33,16,13,Improving,MLOps,Easy,0.866,1
LRN00112,Struggling Learner,10,6,37.5,4,5.03,16.67,3,3,Declining,SQL,Hard,0.107,0
LRN00113,Casual Learner,16,11,42.63,1,3.79,26.67,1,3,Stable,Machine Learning,Medium,0.263,0
LRN00114,Casual Learner,7,4,53.55,1,7.59,11.67,4,4,Stable,MLOps,Hard,0.252,0
LRN00115,Fast Learner,41,21,98.0,19,20.95,68.33,20,15,Improving,NLP,Medium,0.828,1
LRN00116,Consistent Learner,38,21,89.65,20,19.64,63.33,15,8,Improving,Machine Learning,Medium,0.766,1
LRN00117,Consistent Learner,22,14,78.55,24,14.66,36.67,5,3,Improving,Python,Medium,0.632,1
LRN00118,Consistent Learner,37,28,89.29,11,24.31,61.67,12,12,Improving,SQL,Hard,0.696,1
LRN00119,Casual Learner,15,8,54.64,1,11.84,25.0,4,5,Stable,NLP,Medium,0.348,0
LRN00120,Consistent Learner,29,15,89.53,20,15.81,48.33,15,12,Improving,Machine Learning,Easy,0.723,1
LRN00121,Consistent Learner,43,31,85.77,14,22.77,71.67,10,4,Improving,MLOps,Medium,0.748,1
LRN00122,Casual Learner,7,5,54.68,6,5.79,11.67,5,2,Declining,MLOps,Hard,0.187,0
LRN00123,Fast Learner,56,34,98.0,26,25.2,93.33,8,10,Improving,NLP,Easy,0.881,1
LRN00124,Fast Learner,44,36,98.0,18,32.36,73.33,16,13,Improving,Machine Learning,Hard,0.806,1
LRN00125,Casual Learner,9,6,48.9,9,4.46,15.0,1,5,Stable,SQL,Hard,0.241,0
LRN00126,Casual Learner,19,16,43.8,3,5.11,31.67,2,3,Stable,Generative AI,Hard,0.24,0
LRN00127,Consistent Learner,32,26,82.4,23,17.54,53.33,7,6,Improving,MLOps,Medium,0.695,1
LRN00128,Struggling Learner,3,2,30.0,1,3.0,5.0,2,3,Declining,SQL,Hard,0.033,0
LRN00129,Struggling Learner,13,8,30.0,4,1.37,21.67,2,1,Stable,Machine Learning,Hard,0.149,0
LRN00130,Casual Learner,9,7,49.85,4,4.24,15.0,3,5,Stable,Generative AI,Easy,0.287,0
LRN00131,Consistent Learner,24,14,82.37,23,18.23,40.0,6,7,Improving,MLOps,Medium,0.668,1
LRN00132,Fast Learner,50,36,98.0,15,28.14,83.33,18,13,Improving,Python,Medium,0.866,1
LRN00133,Consistent Learner,41,29,90.1,21,20.02,68.33,6,11,Improving,Python,Medium,0.76,1
LRN00134,Casual Learner,16,10,47.05,0,5.28,26.67,2,0,Stable,Generative AI,Medium,0.288,0
LRN00135,Fast Learner,52,35,98.0,20,23.76,86.67,20,15,Improving,SQL,Easy,0.877,1
LRN00136,Consistent Learner,29,25,71.99,16,13.02,48.33,5,8,Declining,Generative AI,Medium,0.439,0
LRN00137,Casual Learner,14,8,51.81,0,6.21,23.33,5,2,Stable,NLP,Medium,0.313,0
LRN00138,Consistent Learner,25,15,85.99,25,17.44,41.67,10,11,Improving,NLP,Medium,0.7,1
LRN00139,Consistent Learner,30,18,82.83,20,11.54,50.0,15,7,Improving,MLOps,Medium,0.682,1
LRN00140,Casual Learner,16,14,58.88,6,8.53,26.67,2,5,Improving,MLOps,Medium,0.448,0
LRN00141,Casual Learner,10,8,52.91,2,11.58,16.67,4,5,Improving,MLOps,Medium,0.405,0
LRN00142,Casual Learner,24,16,44.74,7,4.38,40.0,2,2,Improving,Machine Learning,Medium,0.4,0
LRN00143,Consistent Learner,23,15,74.0,15,10.39,38.33,12,11,Improving,Machine Learning,Medium,0.594,1
LRN00144,Casual Learner,20,11,45.94,2,4.8,33.33,0,3,Declining,MLOps,Hard,0.165,0
LRN00145,Casual Learner,7,5,56.2,4,7.95,11.67,2,1,Stable,Machine Learning,Medium,0.318,0
LRN00146,Consistent Learner,24,17,78.52,25,13.55,40.0,5,8,Stable,Generative AI,Easy,0.558,1
LRN00147,Fast Learner,47,37,98.0,30,34.99,78.33,16,11,Improving,Machine Learning,Medium,0.898,1
LRN00148,Casual Learner,16,9,56.8,8,4.16,26.67,5,4,Stable,Python,Hard,0.307,0
LRN00149,Consistent Learner,25,21,83.32,17,14.84,41.67,10,11,Improving,MLOps,Hard,0.608,1
LRN00150,Casual Learner,24,17,58.41,8,7.8,40.0,5,1,Improving,Generative AI,Medium,0.483,1
LRN00151,Casual Learner,23,20,42.77,0,3.37,38.33,0,0,Improving,SQL,Medium,0.36,0
LRN00152,Casual Learner,20,17,59.53,8,11.0,33.33,2,5,Declining,MLOps,Medium,0.318,0
LRN00153,Casual Learner,10,6,50.17,7,6.96,16.67,3,1,Declining,Machine Learning,Medium,0.228,0
LRN00154,Struggling Learner,4,2,33.91,4,6.32,6.67,0,2,Declining,SQL,Easy,0.118,0
LRN00155,Consistent Learner,39,30,77.31,15,16.27,65.0,10,12,Improving,Generative AI,Medium,0.677,1
LRN00156,Consistent Learner,22,16,93.15,24,24.18,36.67,8,6,Improving,Generative AI,Hard,0.687,1
LRN00157,Consistent Learner,37,31,72.76,13,10.12,61.67,11,5,Stable,Machine Learning,Easy,0.547,0
LRN00158,Casual Learner,16,10,50.97,1,7.98,26.67,3,4,Declining,Generative AI,Medium,0.239,0
LRN00159,Struggling Learner,12,6,33.91,2,3.61,20.0,2,1,Declining,Python,Easy,0.135,0
LRN00160,Casual Learner,21,13,57.6,9,7.11,35.0,4,1,Improving,Generative AI,Medium,0.467,0
LRN00161,Consistent Learner,36,23,89.72,19,17.99,60.0,12,3,Declining,Generative AI,Medium,0.584,1
LRN00162,Struggling Learner,0,1,31.97,2,5.18,0.0,1,0,Declining,Generative AI,Medium,0.089,0
LRN00163,Casual Learner,12,8,40.81,1,3.28,20.0,1,0,Stable,SQL,Medium,0.24,0
LRN00164,Struggling Learner,1,1,37.79,4,5.94,1.67,1,2,Stable,SQL,Medium,0.206,0
LRN00165,Consistent Learner,41,23,91.83,18,21.58,68.33,14,10,Improving,SQL,Hard,0.735,1
LRN00166,Casual Learner,11,7,60.56,7,9.21,18.33,2,3,Declining,Machine Learning,Easy,0.284,0
LRN00167,Consistent Learner,32,19,89.85,14,22.28,53.33,9,3,Improving,NLP,Medium,0.725,1
LRN00168,Consistent Learner,37,27,77.67,18,14.07,61.67,7,4,Improving,MLOps,Hard,0.615,1
LRN00169,Consistent Learner,23,11,85.2,25,16.2,38.33,6,5,Stable,NLP,Medium,0.596,1
LRN00170,Consistent Learner,40,30,82.77,19,12.99,66.67,10,7,Improving,Generative AI,Easy,0.705,1
LRN00171,Struggling Learner,1,1,34.95,1,7.39,1.67,3,1,Declining,NLP,Easy,0.115,0
LRN00172,Struggling Learner,9,7,35.86,0,7.14,15.0,2,0,Declining,MLOps,Medium,0.14,0
LRN00173,Struggling Learner,14,11,32.65,0,2.91,23.33,2,1,Declining,Python,Medium,0.128,0
LRN00174,Casual Learner,11,7,48.44,10,4.58,18.33,3,3,Stable,SQL,Hard,0.254,0
LRN00175,Struggling Learner,0,1,30.76,1,2.83,0.0,3,2,Declining,Python,Easy,0.078,0
LRN00176,Consistent Learner,41,31,78.39,19,11.77,68.33,7,9,Stable,Machine Learning,Medium,0.597,1
LRN00177,Struggling Learner,11,6,37.13,1,5.3,18.33,1,3,Declining,NLP,Medium,0.147,0
LRN00178,Casual Learner,11,7,61.67,10,9.86,18.33,4,0,Stable,Generative AI,Easy,0.384,0
LRN00179,Struggling Learner,6,5,33.63,1,5.01,10.0,1,2,Declining,MLOps,Medium,0.113,0
LRN00180,Consistent Learner,45,30,69.73,14,10.83,75.0,13,9,Improving,Machine Learning,Medium,0.65,1
LRN00181,Casual Learner,11,8,50.42,0,8.2,18.33,3,2,Improving,Python,Hard,0.328,0
LRN00182,Consistent Learner,25,16,98.0,23,21.53,41.67,10,9,Improving,Python,Medium,0.762,1
LRN00183,Consistent Learner,40,26,82.33,13,22.9,66.67,7,11,Declining,Python,Medium,0.552,1
LRN00184,Consistent Learner,43,29,83.6,22,18.17,71.67,8,6,Improving,MLOps,Medium,0.739,1
LRN00185,Casual Learner,24,12,51.68,0,9.89,40.0,1,1,Stable,MLOps,Medium,0.348,0
LRN00186,Casual Learner,17,9,57.66,8,6.95,28.33,1,0,Improving,MLOps,Medium,0.443,0
LRN00187,Casual Learner,15,8,46.8,2,5.13,25.0,5,4,Improving,Generative AI,Hard,0.326,0
LRN00188,Casual Learner,18,13,51.66,0,8.0,30.0,2,5,Stable,NLP,Medium,0.324,0
LRN00189,Fast Learner,52,42,98.0,22,26.05,86.67,12,7,Improving,NLP,Medium,0.87,1
LRN00190,Consistent Learner,26,13,80.08,12,14.95,43.33,12,8,Improving,Machine Learning,Medium,0.639,1
LRN00191,Fast Learner,37,31,98.0,21,21.2,61.67,15,8,Declining,Python,Easy,0.649,1
LRN00192,Casual Learner,20,13,60.94,9,11.23,33.33,5,1,Stable,Machine Learning,Medium,0.415,0
LRN00193,Consistent Learner,28,22,91.12,25,15.39,46.67,12,4,Stable,Machine Learning,Hard,0.601,1
LRN00194,Consistent Learner,38,27,85.98,14,22.96,63.33,5,7,Stable,Machine Learning,Easy,0.64,1
LRN00195,Consistent Learner,27,23,86.75,20,17.49,45.0,9,10,Improving,SQL,Medium,0.695,1
LRN00196,Fast Learner,52,43,98.0,16,26.3,86.67,16,5,Stable,Python,Medium,0.785,1
LRN00197,Casual Learner,12,8,40.75,2,3.61,20.0,0,1,Stable,MLOps,Hard,0.191,0
LRN00198,Casual Learner,5,2,50.91,8,3.06,8.33,3,0,Stable,Machine Learning,Easy,0.285,0
LRN00199,Casual Learner,10,5,46.54,1,3.96,16.67,4,1,Improving,Machine Learning,Easy,0.349,0
LRN00200,Consistent Learner,32,24,84.61,17,16.88,53.33,8,7,Improving,MLOps,Medium,0.689,1
LRN00201,Consistent Learner,37,25,74.35,10,17.14,61.67,7,4,Stable,Generative AI,Hard,0.509,1
LRN00202,Struggling Learner,1,1,31.36,5,2.61,1.67,3,2,Declining,Generative AI,Medium,0.094,0
LRN00203,Struggling Learner,10,8,30.0,1,1.11,16.67,1,3,Declining,Generative AI,Hard,0.047,0
LRN00204,Struggling Learner,10,7,40.17,5,3.69,16.67,1,0,Improving,NLP,Easy,0.322,0
LRN00205,Casual Learner,24,18,61.83,6,11.59,40.0,2,0,Stable,SQL,Medium,0.418,1
LRN00206,Consistent Learner,41,25,83.65,22,18.79,68.33,6,12,Improving,Machine Learning,Easy,0.729,1
LRN00207,Casual Learner,17,14,44.02,1,5.85,28.33,0,0,Declining,Python,Easy,0.197,0
LRN00208,Consistent Learner,37,23,72.36,13,17.69,61.67,5,4,Improving,Machine Learning,Hard,0.585,0
LRN00209,Consistent Learner,44,24,76.91,17,11.27,73.33,14,11,Improving,Machine Learning,Easy,0.691,1
LRN00210,Fast Learner,43,27,98.0,30,25.16,71.67,20,6,Stable,NLP,Medium,0.798,1
LRN00211,Fast Learner,44,28,98.0,27,18.12,73.33,13,14,Improving,NLP,Hard,0.783,1
LRN00212,Struggling Learner,4,2,38.4,4,3.1,6.67,1,3,Declining,Machine Learning,Medium,0.13,0
LRN00213,Struggling Learner,7,3,34.86,2,3.28,11.67,3,2,Declining,Generative AI,Easy,0.124,0
LRN00214,Fast Learner,58,48,98.0,21,25.85,96.67,15,9,Stable,NLP,Medium,0.814,1
LRN00215,Consistent Learner,28,19,94.1,23,19.88,46.67,11,4,Improving,Generative AI,Medium,0.752,1
LRN00216,Casual Learner,22,16,52.64,5,3.33,36.67,5,4,Improving,SQL,Medium,0.427,0
LRN00217,Casual Learner,6,3,62.13,10,8.07,10.0,5,5,Declining,NLP,Easy,0.286,0
LRN00218,Consistent Learner,43,28,88.8,17,17.78,71.67,12,8,Improving,Generative AI,Easy,0.758,1
LRN00219,Consistent Learner,29,18,72.79,12,16.24,48.33,6,5,Stable,Generative AI,Medium,0.525,1
LRN00220,Consistent Learner,42,34,74.03,12,16.79,70.0,9,3,Stable,MLOps,Easy,0.584,1
LRN00221,Struggling Learner,7,5,40.6,4,4.61,11.67,1,2,Stable,NLP,Medium,0.235,0
LRN00222,Casual Learner,17,12,46.88,9,3.26,28.33,1,3,Declining,SQL,Easy,0.225,0
LRN00223,Casual Learner,23,14,47.75,8,3.92,38.33,1,2,Improving,NLP,Medium,0.408,0
LRN00224,Casual Learner,24,20,48.57,1,6.53,40.0,2,2,Declining,MLOps,Hard,0.198,0
LRN00225,Casual Learner,9,5,49.86,3,5.82,15.0,2,0,Stable,NLP,Medium,0.287,0
LRN00226,Consistent Learner,35,24,84.4,15,19.53,58.33,13,5,Improving,NLP,Medium,0.714,1
LRN00227,Struggling Learner,15,11,32.19,3,1.96,25.0,3,3,Declining,NLP,Easy,0.137,0
LRN00228,Casual Learner,12,7,50.35,4,5.63,20.0,1,4,Stable,NLP,Medium,0.299,0
LRN00229,Fast Learner,59,47,98.0,26,27.23,98.33,16,5,Improving,NLP,Easy,0.918,1
LRN00230,Casual Learner,14,8,57.18,0,10.87,23.33,3,2,Stable,Python,Medium,0.348,0
LRN00231,Casual Learner,23,13,56.9,9,9.2,38.33,5,3,Improving,SQL,Hard,0.43,0
LRN00232,Consistent Learner,39,28,90.75,20,18.08,65.0,9,7,Improving,MLOps,Hard,0.704,1
LRN00233,Casual Learner,18,14,55.93,4,11.27,30.0,5,1,Improving,Machine Learning,Hard,0.402,0
LRN00234,Casual Learner,20,13,50.74,10,4.28,33.33,2,5,Stable,Python,Medium,0.341,0
LRN00235,Casual Learner,16,8,55.78,7,7.09,26.67,2,4,Declining,MLOps,Hard,0.222,0
LRN00236,Casual Learner,7,5,55.89,6,10.16,11.67,1,3,Stable,Machine Learning,Medium,0.327,0
LRN00237,Casual Learner,20,10,60.98,10,10.09,33.33,0,0,Stable,Python,Hard,0.351,0
LRN00238,Consistent Learner,33,18,83.58,14,13.03,55.0,15,7,Improving,MLOps,Medium,0.684,1
LRN00239,Casual Learner,25,19,53.59,6,4.49,41.67,5,2,Stable,Python,Medium,0.368,0
LRN00240,Consistent Learner,24,18,90.23,24,18.91,40.0,5,3,Declining,NLP,Medium,0.546,1
LRN00241,Consistent Learner,22,14,80.23,13,20.96,36.67,6,8,Improving,SQL,Medium,0.634,1
LRN00242,Fast Learner,53,41,98.0,20,18.14,88.33,15,10,Improving,NLP,Medium,0.849,1
LRN00243,Consistent Learner,23,14,75.44,13,12.1,38.33,14,9,Stable,SQL,Easy,0.526,0
LRN00244,Casual Learner,24,20,58.52,4,9.49,40.0,5,0,Stable,Generative AI,Medium,0.398,0
LRN00245,Consistent Learner,40,21,75.62,17,10.82,66.67,12,9,Improving,Generative AI,Hard,0.615,0
LRN00246,Consistent Learner,30,23,83.0,23,11.98,50.0,10,11,Declining,Python,Easy,0.52,0
LRN00247,Consistent Learner,21,15,98.0,22,23.84,35.0,13,7,Improving,MLOps,Medium,0.762,1
LRN00248,Consistent Learner,24,20,81.59,19,14.16,40.0,6,11,Improving,Machine Learning,Medium,0.64,1
LRN00249,Casual Learner,25,13,45.55,6,3.6,41.67,5,1,Stable,NLP,Medium,0.329,0
LRN00250,Casual Learner,10,5,51.74,2,4.07,16.67,5,0,Stable,MLOps,Easy,0.298,0
LRN00251,Casual Learner,13,10,47.91,1,9.6,21.67,0,2,Improving,MLOps,Hard,0.324,0
LRN00252,Consistent Learner,36,23,88.25,25,15.4,60.0,14,5,Improving,Generative AI,Medium,0.75,1
LRN00253,Casual Learner,5,3,39.82,0,3.4,8.33,1,0,Improving,Python,Medium,0.29,0
